Season,League,Player,Team,GP,MIN,AVG,PER,SO,G,A,PIM
2010,CWHL,Kim St-Pierre,Montreal Stars,16,915,2.43,0.908,3,0,0,2
2010,CWHL,Jenny Lavigne,Montreal Stars,9,550,2.51,0.894,0,0,0,0
2011,CWHL,Mandy Mackrell,Boston Blades,4,245,1.47,0.923,1,0,0,0
2011,CWHL,Molly Schaus,Boston Blades,23,1386,2.38,0.910,0,0,2,2
2011,CWHL,Erika Vanderveer,Toronto Furies,9,525,2.97,0.903,1,0,0,0
2011,CWHL,Lundy Day,Team Alberta CWHL,10,603,3.98,0.890,0,0,0,0
2011,CWHL,Jenny Lavigne,Montreal Stars,23,1358,2.39,0.886,2,0,0,0
2011,CWHL,Jillian MacIsaac,Team Alberta CWHL,5,300,4.80,0.877,1,0,0,0
2011,CWHL,Liz Knox,Brampton Thunder,20,1206,2.94,0.828,1,0,0,0
2011,CWHL,Sami Jo Small,Toronto Furies,16,933,4.11,0.813,1,0,0,0
2012,CWHL,Genevieve Lacasse,Boston Blades,14,813,1.26,0.925,2,0,1,2
2012,CWHL,Charline Labonte,Montreal Stars,14,848,2.19,0.916,1,0,0,2
2012,CWHL,Florence Schelling,Brampton Thunder,14,831,2.53,0.901,3,0,0,0
2012,CWHL,Erika Vanderveer,Toronto Furies,2,120,2.00,0.900,0,0,0,0
2012,CWHL,Kim St-Pierre,Montreal Stars,2,120,3.50,0.897,0,0,0,0
2012,CWHL,Sami Jo Small,Toronto Furies,7,362,2.49,0.895,1,0,1,0
2012,CWHL,Jenny Lavigne,Montreal Stars,8,421,2.71,0.894,0,0,0,0
2012,CWHL,Molly Schaus,Boston Blades,11,632,1.99,0.888,1,0,0,0
2012,CWHL,Christina Kessler,Toronto Furies,17,962,3.18,0.869,2,0,0,0
2012,CWHL,Jillian MacIsaac,Team Alberta CWHL,11,618,3.88,0.861,0,0,0,0
2012,CWHL,Liz Knox,Brampton Thunder,11,615,4.19,0.831,0,0,0,2
2012,CWHL,Kathryn Desjardins,Team Alberta CWHL,14,737,3.18,0.721,0,0,0,0
2012,CWHL,Brianne McLaughlin,Brampton Thunder,1,,,,,0,0,0
2013,CWHL,Meghan Corley-Byrne,Montreal Stars,7,393,1.53,0.924,1,0,0,0
2013,CWHL,Brittany Ott,Boston Blades,17,937,2.63,0.921,1,0,0,2
2013,CWHL,Sami Jo Small,Toronto Furies,8,489,2.21,0.920,0,0,1,2
2013,CWHL,Catherine Herron,Montreal Stars,18,996,2.11,0.908,3,0,1,2
2013,CWHL,Christina Kessler,Toronto Furies,15,906,2.72,0.908,1,0,0,0
2013,CWHL,Genevieve Lacasse,Boston Blades,2,120,3.00,0.906,0,0,0,0
2013,CWHL,Delayne Brian,Calgary Inferno,14,809,2.52,0.895,1,0,0,0
2013,CWHL,Kathryn Desjardins,Calgary Inferno,11,648,3.06,0.893,0,0,0,0
2013,CWHL,Alissa Fromkin,Boston Blades,8,387,3.41,0.892,0,0,0,0
2013,CWHL,Sonja van der Bliek,Brampton Thunder,18,1029,3.62,0.883,0,0,0,10
2013,CWHL,Jamie Miller,Brampton Thunder,3,180,5.33,0.858,0,0,0,0
2013,CWHL,Erika Vanderveer,Brampton Thunder,5,248,5.07,0.835,0,0,0,0
2013,CWHL,Zoe Zisis,Boston Blades,0,0,,,,,,
2013,CWHL,Lauren Sullivan,Toronto Furies,0,0,,,,,,
2013,CWHL,Jenny Lavigne,Montreal Stars,0,0,,,,,,
2013,CWHL,Allison Cubberley,Brampton Thunder,0,0,,,,,,
2014,CWHL,Nicole Stock,Boston Blades,1,60,0.00,1.000,1,0,0,0
2014,CWHL,Charline Labonte,Montreal Stars,16,952,1.89,0.927,2,0,0,0
2014,CWHL,Genevieve Lacasse,Boston Blades,11,644,1.68,0.925,1,0,0,0
2014,CWHL,Danielle Butters,Toronto Furies,1,65,3.69,0.913,0,0,0,0
2014,CWHL,Brittany Ott,Boston Blades,11,629,2.10,0.906,3,0,0,0
2014,CWHL,Delayne Brian,Calgary Inferno,17,1024,2.46,0.906,1,0,0,2
2014,CWHL,Catherine Herron,Montreal Stars,6,365,2.47,0.900,0,0,0,0
2014,CWHL,Camille Trautman,Calgary Inferno,7,424,2.55,0.900,0,0,0,0
2014,CWHL,Christina Kessler,Toronto Furies,19,1089,3.41,0.900,0,0,0,0
2014,CWHL,Erica Howe,Brampton Thunder,13,676,3.81,0.896,0,0,0,0
2014,CWHL,Sami Jo Small,Toronto Furies,7,308,3.70,0.890,0,0,0,0
2014,CWHL,Liz Knox,Brampton Thunder,11,597,3.92,0.888,1,0,0,0
2014,CWHL,Sonja van der Bliek,Brampton Thunder,4,176,3.07,0.873,0,0,0,0
2014,CWHL,Jenny Lavigne,Montreal Stars,0,0,,,,,,
2015,CWHL,Sydney Aveson,Les Canadiennes,5,296,1.22,0.930,2,0,0,0
2015,CWHL,Charline Labonte,Les Canadiennes,20,1144,1.52,0.925,5,0,0,0
2015,CWHL,Kathy Desjardins,Calgary Inferno,7,333,1.62,0.924,1,0,0,0
2015,CWHL,Liz Knox,Brampton Thunder,10,502,2.51,0.924,2,0,1,0
2015,CWHL,Erica Howe,Brampton Thunder,17,941,2.68,0.915,2,0,1,0
2015,CWHL,Genevieve Lacasse,Boston Blades,23,1345,4.86,0.904,0,0,0,2
2015,CWHL,Christina Kessler,Toronto Furies,19,1058,3.34,0.902,2,0,0,2
2015,CWHL,Delayne Brian,Calgary Inferno,20,1104,2.99,0.890,2,0,0,0
2015,CWHL,Amanda Cariddi,Boston Blades,3,97,6.75,0.863,0,0,0,0
2015,CWHL,Olivia Ross,Toronto Furies,2,88,5.42,0.833,0,0,0,0
2015,CWHL,Jessica Anderson,Les Canadiennes,0,0,,,,,,
2015,CWHL,Sonja van der Bliek,Toronto Furies,5,285,,,1,0,0,0
2015,CWHL,Jamie Miller,Brampton Thunder,0,0,,,,,,
2016,CWHL,Sami Jo Small,Toronto Furies,,,,,,,,
2016,CWHL,Genevieve Lacasse,Calgary Inferno,,,,,,,,
2016,CWHL,Sonja van der Bliek,Toronto Furies,,,,,,,,
2016,CWHL,Christina Kessler,Toronto Furies,,,,,,,,
2016,CWHL,Amanda Makela,Les Canadiennes,,,,,,,,
2016,CWHL,Charline Labonte,Les Canadiennes,,,,,,,,
2016,CWHL,Catherine Herron,Les Canadiennes,,,,,,,,
2016,CWHL,Emerance Maschmeyer,Calgary Inferno,,,,,,,,
2016,CWHL,Jetta Rackleff,Brampton Thunder,,,,,,,,
2016,CWHL,Liz Knox,Brampton Thunder,,,,,,,,
2016,CWHL,Lauren Dahm,Boston Blades,,,,,,,,
2016,CWHL,Erica Howe,Brampton Thunder,,,,,,,,
2016,CWHL,Shelley Payne,Boston Blades,,,,,,,,
2016,CWHL,Delayne Brian,Calgary Inferno,,,,,,,,
2017,CWHL,Noora Räty,Kunlun Red Star,20,,1.60,0.944,,,,
2017,CWHL,Elaine Chuli,Vanke Rays,27,,2.94,0.913,,,,
2017,CWHL,Siye He,Kunlun Red Star,2,,2.66,0.909,,,,
2017,CWHL,Yuqing Wang,Kunlun Red Star,10,,1.98,0.905,,,,
2017,CWHL,Tianyi Zhang,Vanke Rays,4,,7.30,0.825,,,,
2017,CWHL,Yiyang Han,Vanke Rays,0,,,,,,,
2018,CWHL,Yuqing Wang,Shenzhen KRS Vanke Rays,1,20,0.00,1.000,0,0,0,0
2018,CWHL,Amanda Makela,Toronto Furies,1,60,0.00,1.000,1,0,0,0
2018,CWHL,Marie-Soleil Deschenes,Les Canadiennes,4,240,1.00,,2,0,0,0
2018,CWHL,Annie Belanger,Calgary Inferno,9,518,1.39,,4,0,0,0
2018,CWHL,Emerance Maschmeyer,Les Canadiennes,20,1200,1.45,,4,0,2,0
2018,CWHL,Alex Rigsby,Calgary Inferno,17,1027,2.04,,1,0,0,0
2018,CWHL,Kimberly Newell,Shenzhen KRS Vanke Rays,10,493,2.19,,0,0,0,0
2018,CWHL,Noora Räty,Shenzhen KRS Vanke Rays,20,1169,2.46,,2,0,1,0
2018,CWHL,Genevieve Lacasse,Les Canadiennes,4,237,2.53,,1,0,0,0
2018,CWHL,Shea Tiley,Toronto Furies,15,846,2.55,,0,0,1,0
2018,CWHL,Erica Howe,Markham Thunder,20,1149,2.56,,2,0,1,0
2018,CWHL,Elaine Chuli,Toronto Furies,15,773,3.03,,2,0,0,0
2018,CWHL,Lindsey Post,Calgary Inferno,1,57,3.14,,0,0,0,0
2018,CWHL,Liz Knox,Markham Thunder,9,488,3.44,,0,0,1,0
2018,CWHL,Mariah Fujimagari,Worcester Blades,16,614,6.74,,0,0,0,2
2018,CWHL,Lauren Dahm,Worcester Blades,12,,,,,0,0,0
2018,CWHL,Jetta Rackleff,Worcester Blades,9,,,,,0,0,0
2018,CWHL,Jessica Convery,Worcester Blades,6,,,,,0,0,0
