Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2015,CWHL,Caroline Ouellette,F,Les Canadiennes,3,4,6,10,0,1
2015,CWHL,Rebecca Johnston,F,Calgary Inferno,3,4,5,9,2,5
2015,CWHL,Marie-Philip Poulin-Nadeau,F,Les Canadiennes,3,4,4,8,2,4
2015,CWHL,Ann-Sophie Bettez,F,Les Canadiennes,3,1,6,7,4,2
2015,CWHL,Brianne Jenner,F,Calgary Inferno,3,2,4,6,2,6
2015,CWHL,Blayre Turnbull,F,Calgary Inferno,3,3,2,5,0,1
2015,CWHL,Cathy Chartrand,D,Les Canadiennes,3,1,4,5,0,3
2015,CWHL,Julie Chu,F,Les Canadiennes,3,2,2,4,0,1
2015,CWHL,Jillian Saulnier,F,Calgary Inferno,3,1,3,4,0,5
2015,CWHL,Brigette Lacquette,D,Calgary Inferno,3,1,3,4,4,4
2015,CWHL,Hayley Wickenheiser,F,Calgary Inferno,3,1,2,3,0,1
2015,CWHL,Meaghan Mikkelson-Reid,D,Calgary Inferno,3,1,2,3,0,1
2015,CWHL,Lauriane Rougeau,D,Les Canadiennes,3,1,2,3,0,2
2015,CWHL,Jessica Campbell,F,Calgary Inferno,3,2,0,2,0,-5
2015,CWHL,Rebecca Vint,F,Brampton Thunder,2,2,0,2,4,-1
2015,CWHL,Kim Deschenes,F,Les Canadiennes,3,1,1,2,2,1
2015,CWHL,Noémie Marin,F,Les Canadiennes,3,1,1,2,2,2
2015,CWHL,Natalie Spooner,F,Toronto Furies,2,1,1,2,0,-4
2015,CWHL,Alyssa Baldin,F,Toronto Furies,2,1,1,2,4,-3
2015,CWHL,Sarah Edney,D,Brampton Thunder,2,1,1,2,0,1
2015,CWHL,Aina Mizukami,D,Calgary Inferno,3,0,2,2,4,0
2015,CWHL,Jacquie Pierri,D,Calgary Inferno,3,0,2,2,4,0
2015,CWHL,Shannon Moulson,D,Toronto Furies,2,0,2,2,6,-3
2015,CWHL,Becca King,F,Brampton Thunder,2,0,2,2,0,2
2015,CWHL,Bailey Bram,F,Calgary Inferno,3,1,0,1,6,-4
2015,CWHL,Courtney Birchard Kessel,D,Brampton Thunder,2,1,0,1,2,0
2015,CWHL,Jenna McParland,F,Brampton Thunder,2,1,0,1,0,0
2015,CWHL,Hayleigh Cudmore,D,Calgary Inferno,3,0,1,1,0,1
2015,CWHL,Sarah Davis,F,Calgary Inferno,3,0,1,1,4,-3
2015,CWHL,Louise Warren,F,Calgary Inferno,3,0,1,1,0,3
2015,CWHL,Karell Emard,D/F,Les Canadiennes,3,0,1,1,2,-2
2015,CWHL,Jamie Lee Rattray,F,Brampton Thunder,2,0,1,1,0,-3
