Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2007,CWHL,Lisa-Marie Breton-Lebreux,F,Montreal Stars,25,11,21,32,58,
2008,CWHL,Caroline Ouellette,F,Montreal Stars,24,26,33,59,6,
2008,CWHL,Lisa-Marie Breton-Lebreux,F,Montreal Stars,,,,,,
2008,CWHL,Noémie Marin,F,Montreal Stars,,,,,,
2008,CWHL,Annie Guay,D,Montreal Stars,,,,,,
2008,CWHL,Sabrina Harbec,F,Montreal Stars,,,,,,
2009,CWHL,Sabrina Harbec,F,Montreal Stars,29,15,40,55,34,
2009,CWHL,Noémie Marin,F,Montreal Stars,28,24,20,44,6,
2009,CWHL,Annie Guay,D,Montreal Stars,22,7,25,32,12,
2009,CWHL,Lisa-Marie Breton-Lebreux,F,Montreal Stars,26,10,14,24,22,
2009,CWHL,Caroline Ouellette,F,Montreal Stars,,,,,,
2010,CWHL,Caroline Ouellette,F,Montreal Stars,29,24,47,71,16,
2010,CWHL,Jayna Hefford,F,Brampton Thunder,27,25,23,48,32,31
2010,CWHL,Jennifer Botterill,F,Toronto Furies,25,14,30,44,12,27
2010,CWHL,Noémie Marin,F,Montreal Stars,19,22,15,37,10,27
2010,CWHL,Julie Chu,F,Montreal Stars,19,5,30,35,4,24
2010,CWHL,Annie Guay,D,Montreal Stars,29,13,19,32,16,16
2010,CWHL,Emmanuelle Blais,F,Montreal Stars,29,11,21,32,30,25
2010,CWHL,Sam Faber,F,Boston Blades,23,15,15,30,28,17
2010,CWHL,Britni Smith,D,Toronto Furies,29,8,21,29,22,10
2010,CWHL,Cherie Piper,F,Brampton Thunder,16,14,14,28,6,18
2010,CWHL,Sarah Vaillancourt,F,Montreal Stars,15,11,17,28,10,20
2010,CWHL,Vanessa Davidson,F,Montreal Stars,27,12,8,20,24,18
2010,CWHL,Sabrina Harbec,F,Montreal Stars,15,8,9,17,8,8
2010,CWHL,Danijela Rundqvist,F,Burlington Barracudas,22,11,4,15,36,11
2010,CWHL,Dominique Thibault,F,Montreal Stars,20,7,8,15,12,14
2010,CWHL,Lisa-Marie Breton-Lebreux,F,Montreal Stars,18,7,3,10,18,7
2010,CWHL,Melodie Daoust,F,Montreal Stars,2,0,3,3,0,3
2011,CWHL,Meghan Agosta-Marciano,F,Montreal Stars,27,41,39,80,16,59
2011,CWHL,Caroline Ouellette,F,Montreal Stars,27,30,36,66,12,52
2011,CWHL,Vanessa Davidson,F,Montreal Stars,27,24,25,49,26,41
2011,CWHL,Kelli Stack,F,Boston Blades,27,25,17,42,30,35
2011,CWHL,Gillian Apps,F,Brampton Thunder,27,19,20,39,70,30
2011,CWHL,Jayna Hefford,F,Brampton Thunder,27,21,13,34,28,24
2011,CWHL,Noémie Marin,F,Montreal Stars,24,12,22,34,16,25
2011,CWHL,Cherie Piper,F,Brampton Thunder,25,12,21,33,10,28
2011,CWHL,Erika Lawler,F,Boston Blades,26,11,22,33,10,25
