Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2015,NWHL,Hilary Knight,F,Boston Pride,17,15,18,33,8,
2015,NWHL,Brianna Decker,F,Boston Pride,16,14,15,29,20,
2015,NWHL,Kelly Babstock,F,Connecticut Whale,18,9,13,22,24,
2015,NWHL,Kelli Stack,F,Connecticut Whale,17,8,14,22,24,
2015,NWHL,Kelley Steadman,F,Buffalo Beauts,10,13,7,20,16,
2015,NWHL,Jordan Smelker,F,Boston Pride,17,9,10,19,8,
2015,NWHL,Kourtney Kunichika,F,Buffalo Beauts,18,9,8,17,4,
2015,NWHL,Kaleigh Fratkin,D,Connecticut Whale,18,5,12,17,40,
2015,NWHL,Meghan Duggan,F,Buffalo Beauts,13,6,10,16,14,
2015,NWHL,Bray Ketchum,F,New York Riveters,18,10,4,14,18,
2015,NWHL,Devon Skeats,F,Buffalo Beauts,15,9,5,14,26,
2015,NWHL,Jillian Dempsey,F,Boston Pride,18,7,7,14,10,
2015,NWHL,Gigi Marvin,F,Boston Pride,16,5,9,14,12,
2015,NWHL,Brooke Reimer,F,New York Riveters,15,4,10,14,26,
2015,NWHL,Kacey Bellamy,D,Boston Pride,13,2,12,14,12,
2015,NWHL,Shiann Darkangelo,F,Connecticut Whale,13,10,3,13,0,
2015,NWHL,Megan Bozek,D,Buffalo Beauts,16,3,10,13,13,
2015,NWHL,Harrison Browne,F,Buffalo Beauts,18,5,7,12,26,
2015,NWHL,Emily Pfalzer,D,Buffalo Beauts,17,2,10,12,6,
2015,NWHL,Jordan Brickner,D/F,Connecticut Whale,18,0,12,12,2,
2015,NWHL,Amanda Pelkey,F,Boston Pride,16,7,3,10,12,
2015,NWHL,Danielle Ward,F,Connecticut Whale,18,5,5,10,24,
2015,NWHL,Lyudmila Belyakova,F,New York Riveters,15,5,5,10,20,
2015,NWHL,Shelby Bram,F,Buffalo Beauts,15,4,6,10,0,
2015,NWHL,Micaela Long,F,Connecticut Whale,17,3,7,10,27,
2015,NWHL,Janine Weber,F,New York Riveters,18,3,6,9,4,
2015,NWHL,Blake Bolden,D,Boston Pride,18,1,8,9,10,
