Season,League,Player,Team,GP,MIN,AVG,PER,SO,G,A,PIM
2015,NWHL,Kelsie Fralick,Boston Pride,1,8,0.00,1.000,0,,,
2015,NWHL,Chelsea Laden,New York Riveters,3,179,2.00,0.938,0,,,
2015,NWHL,Jaimie Leonoff,Connecticut Whale,10,567,2.96,0.936,0,,,
2015,NWHL,Nicole Stock,Connecticut Whale,6,343,2.62,0.929,0,,,
2015,NWHL,Brittany Ott,Boston Pride,17,926,1.94,0.925,1,,,
2015,NWHL,Nana Fujimoto,New York Riveters,13,712,3.28,0.911,0,,,
2015,NWHL,Amanda Makela,Buffalo Beauts,6,322,2.79,0.909,0,,,
2015,NWHL,Brianne McLaughlin,Buffalo Beauts,14,721,3.41,0.907,0,,,
2015,NWHL,Jenny Scrivens,New York Riveters,6,243,3.95,0.902,0,,,
2015,NWHL,Lauren Slebodnick,Boston Pride,4,163,3.30,0.883,0,,,
2015,NWHL,Shenae Lundberg,Connecticut Whale,3,150,8.29,0.875,0,,,
2015,NWHL,Kimberly Sass,Buffalo Beauts,2,90,4.64,0.863,0,,,
2015,NWHL,Corinne Boyles,New York Riveters,0,0,,,,,,
2016,NWHL,Lauren Slebodnick,Boston Pride,7,,1.22,0.942,,,,
2016,NWHL,Brittany Ott,Boston Pride,13,,1.93,0.922,,,,
2016,NWHL,Katie Fitzgerald,New York Riveters,15,,3.01,0.901,,,,
2016,NWHL,So Jung Shin,New York Riveters,5,,3.20,0.898,,,,
2016,NWHL,Brianne McLaughlin,Buffalo Beauts,13,,3.47,0.896,,,,
2016,NWHL,Amanda Leveille,Buffalo Beauts,10,,4.34,0.890,,,,
2016,NWHL,Nicole Stock,Connecticut Whale,11,,4.07,0.858,,,,
2016,NWHL,Shenae Lundberg,Connecticut Whale,10,,4.30,0.855,,,,
2016,NWHL,Sarah Bryant,New York Riveters,2,,7.55,0.667,,,,
2016,NWHL,Kelsey Neumann,Buffalo Beauts,0,,,,,,,
2017,NWHL,Katie Fitzgerald,Metropolitan Riveters,15,,1.87,0.920,,,,
2017,NWHL,Amanda Leveille,Buffalo Beauts,16,,2.53,0.918,,,,
2017,NWHL,Kimberly Sass,Metropolitan Riveters,5,,1.86,0.913,,,,
2017,NWHL,Brittany Ott,Boston Pride,13,,2.50,0.910,,,,
2017,NWHL,Brianna Laing,Boston Pride,4,,3.47,0.897,,,,
2017,NWHL,Sydney Rossman,Connecticut Whale,16,,3.14,0.885,,,,
2017,NWHL,Madison Litchfield,Boston Pride,1,,3.62,0.842,,,,
2017,NWHL,Laura Brennan,Connecticut Whale,2,,3.72,0.833,,,,
2017,NWHL,Keira Goin,Connecticut Whale,3,,7.64,0.500,,,,
2017,NWHL,Sarah Bryant,Metropolitan Riveters,1,,0.00,,,,,
2017,NWHL,Julia DiTondo,Buffalo Beauts,3,,0.00,,,,,
2017,NWHL,Kelsey Neumann,Buffalo Beauts,3,,0.00,,,,,
2018,NWHL,Brittany Ott,Boston Pride,,92,1.88,800.000,,0,0,0
2018,NWHL,Nicole Hensley,Buffalo Beauts,,360,1.50,0.935,,0,0,0
2018,NWHL,Shannon Szabados,Buffalo Beauts,,605,1.49,0.934,,0,0,0
2018,NWHL,Amanda Leveille,Minnesota Whitecaps,,861,2.09,0.923,,0,0,0
2018,NWHL,Kaitlin Burt,Boston Pride,,869,2.26,0.920,,0,0,0
2018,NWHL,Meeri Räisänen,Connecticut Whale,,693,3.03,0.908,,0,0,0
2018,NWHL,Julie Friend,Minnesota Whitecaps,,99,2.41,0.892,,0,0,0
2018,NWHL,Katie Fitzgerald,Metropolitan Riveters,,687,3.32,0.887,,0,0,0
2018,NWHL,Kimberly Sass,Metropolitan Riveters,,172,3.83,0.885,,0,0,0
2018,NWHL,Shenae Lundberg,Connecticut Whale,,140,3.43,0.869,,0,0,0
2018,NWHL,Erin O’Neil,Connecticut Whale,,100,5.40,0.855,,0,0,0
2018,NWHL,Mariya Sorokina,Connecticut Whale,0,106,5.68,0.756,,0,0,0
2018,NWHL,Sam Walther,Connecticut Whale,,11,10.48,0.667,,0,0,0
2018,NWHL,Laura Brennan,Connecticut Whale,,21,19.58,0.611,,0,0,0
2018,NWHL,Madison Litchfield,Boston Pride,0,,,,,,,
2018,NWHL,Sarah Bryant,Metropolitan Riveters,0,0,,,,,,
2018,NWHL,Sydney Rossman,Minnesota Whitecaps,0,0,,,,,,
2018,NWHL,Julia DiTondo,Buffalo Beauts,0,0,,,,,,
