Season,League,Player,Team,GP,MIN,AVG,PER,SO,G,A,PIM
2015,CWHL,Sonja van der Bliek,Toronto Furies,2,46,2.60,0.929,0,0,0,0
2015,CWHL,Delayne Brian,Calgary Inferno,3,180,2.67,0.914,0,0,0,0
2015,CWHL,Erica Howe,Brampton Thunder,2,117,3.57,0.889,0,0,0,0
2015,CWHL,Charline Labonte,Les Canadiennes,3,175,3.08,0.836,0,0,0,0
2015,CWHL,Christina Kessler,Toronto Furies,2,73,8.12,0.811,0,0,0,0
2015,CWHL,Sydney Aveson,Les Canadiennes,0,0,,,,,,
2015,CWHL,Kathy Desjardins,Calgary Inferno,0,0,,,,,,
2015,CWHL,Liz Knox,Brampton Thunder,0,0,,,,,,
2015,CWHL,Jamie Miller,Brampton Thunder,0,0,,,,,,
2017,CWHL,Noora Räty,Kunlun Red Star,4,,1.34,0.961,,,,
2017,CWHL,Yuqing Wang,Kunlun Red Star,0,,,,,,,
