Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2016,NWHL,Alex Carpenter,F,Boston Pride,2,3,3,6,0,6
2016,NWHL,Hilary Knight,F,Boston Pride,2,3,2,5,2,6
2016,NWHL,Brianna Decker,F,Boston Pride,2,1,4,5,2,6
2016,NWHL,Emily Janiga,F,Buffalo Beauts,2,3,1,4,2,2
2016,NWHL,Megan Bozek,D,Buffalo Beauts,2,2,2,4,0,2
2016,NWHL,Hayley Scamurra,F,Buffalo Beauts,2,1,3,4,0,3
2016,NWHL,Kacey Bellamy,D,Boston Pride,2,0,4,4,0,2
2016,NWHL,Gigi Marvin,F,Boston Pride,2,1,1,2,0,4
2016,NWHL,Kelli Stack,F,Connecticut Whale,1,1,1,2,2,-2
2016,NWHL,Haley Skarupa,F,Connecticut Whale,1,0,2,2,2,-3
2016,NWHL,Corinne Buie,F,Buffalo Beauts,2,1,0,1,0,0
2016,NWHL,Jillian Dempsey,F,Boston Pride,2,1,0,1,0,0
2016,NWHL,Lexi Bender,D,Boston Pride,2,1,0,1,0,3
2016,NWHL,Janine Weber,F,New York Riveters,1,1,0,1,2,-1
2016,NWHL,Dana Trivigno,F,Connecticut Whale,1,1,0,1,2,-3
2016,NWHL,Tatiana Rafter,F,New York Riveters,1,1,0,1,0,0
2016,NWHL,Shiann Darkangelo,F,Buffalo Beauts,2,0,1,1,0,0
2016,NWHL,Meghan Duggan,F,Boston Pride,2,0,1,1,0,0
2016,NWHL,Blake Bolden,D,Boston Pride,2,0,1,1,0,1
2016,NWHL,Ashley Vesci,F,Buffalo Beauts,2,0,1,1,6,2
2016,NWHL,Lisa Chesson,D,Buffalo Beauts,1,0,1,1,0,2
2016,NWHL,Amanda Kessel,F,New York Riveters,1,0,1,1,0,-2
2016,NWHL,Miye D’Oench,F,New York Riveters,1,0,1,1,2,-2
2016,NWHL,Madison Packer,F,New York Riveters,1,0,1,1,2,1
2016,NWHL,Alexa Gruschow,F,New York Riveters,1,0,1,1,0,-1
2016,NWHL,Jordan Brickner,D/F,Connecticut Whale,1,0,1,1,0,-1
2016,NWHL,Kourtney Kunichika,F,Buffalo Beauts,2,0,0,0,0,0
2016,NWHL,Kelley Steadman,F,Buffalo Beauts,2,0,0,0,0,-1
2016,NWHL,Sarah Casorso,D,Buffalo Beauts,2,0,0,0,4,-1
2016,NWHL,Emily Pfalzer,D,Buffalo Beauts,2,0,0,0,6,2
2016,NWHL,Harrison Browne,F,Buffalo Beauts,2,0,0,0,2,-1
2016,NWHL,Amanda Pelkey,F,Boston Pride,2,0,0,0,2,0
2016,NWHL,Jordyn Burns,F,Buffalo Beauts,2,0,0,0,0,-1
2016,NWHL,Jacquie Greco,D,Buffalo Beauts,2,0,0,0,0,0
2016,NWHL,Emily Field,F,Boston Pride,2,0,0,0,0,0
2016,NWHL,Alyssa Gagliardi,D,Boston Pride,2,0,0,0,0,2
2016,NWHL,Rachel Llanes,F,Boston Pride,2,0,0,0,2,0
2016,NWHL,Paige Harrington,D,Buffalo Beauts,2,0,0,0,0,1
2016,NWHL,Mary Parker,F,Boston Pride,2,0,0,0,0,0
2016,NWHL,Jordan Smelker,F,Boston Pride,1,0,0,0,0,0
2016,NWHL,Devon Skeats,F,Buffalo Beauts,1,0,0,0,2,0
2016,NWHL,Michaela Levine,F,Boston Pride,1,0,0,0,0,0
2016,NWHL,Kelsey Koelzer,D/F,New York Riveters,1,0,0,0,0,-1
2016,NWHL,Kelly Babstock,F,Connecticut Whale,1,0,0,0,2,-2
2016,NWHL,Nicole Kosta,F,Connecticut Whale,1,0,0,0,0,-1
2016,NWHL,Rebecca Russo,F,New York Riveters,1,0,0,0,0,1
2016,NWHL,Nicole Connery,F,Connecticut Whale,1,0,0,0,0,-1
2016,NWHL,Micaela Long,F,Connecticut Whale,1,0,0,0,0,-1
2016,NWHL,Courtney Burke,D,New York Riveters,1,0,0,0,0,0
2016,NWHL,Sam Faber,F,Connecticut Whale,1,0,0,0,0,-2
2016,NWHL,Cydney Roesler,D,Connecticut Whale,1,0,0,0,0,-3
2016,NWHL,Milica McMillen,F,New York Riveters,1,0,0,0,0,-1
2016,NWHL,Michelle Picard,D,New York Riveters,1,0,0,0,0,-2
2016,NWHL,Meghan Huertas,F,Connecticut Whale,1,0,0,0,0,-3
2016,NWHL,Bray Ketchum,F,New York Riveters,1,0,0,0,0,-1
2016,NWHL,Meagan Mangene,D,Connecticut Whale,1,0,0,0,0,-1
2016,NWHL,Zoe Hickel,F,Connecticut Whale,1,0,0,0,0,-3
2016,NWHL,Kaleigh Fratkin,D,New York Riveters,1,0,0,0,0,-1
2016,NWHL,Kaliya Johnson,D,Connecticut Whale,1,0,0,0,0,-4
2016,NWHL,Kiira Dosdall,D,New York Riveters,1,0,0,0,0,0
2016,NWHL,Juana Baribeau,F,Connecticut Whale,1,0,0,0,0,0
2016,NWHL,Ashley Johnston,D,New York Riveters,1,0,0,0,0,0
2017,NWHL,Madison Packer,F,Metropolitan Riveters,2,1,2,3,4,2
2017,NWHL,Erika Lawler,F,Metropolitan Riveters,2,1,2,3,0,2
2017,NWHL,Rebecca Russo,F,Metropolitan Riveters,2,1,1,2,0,2
2017,NWHL,Sarah Edney,D,Buffalo Beauts,2,1,1,2,0,0
2017,NWHL,Miye D’Oench,F,Metropolitan Riveters,2,0,2,2,0,1
2017,NWHL,Mary Parker,F,Boston Pride,1,0,2,2,0,1
2017,NWHL,Heather Schwarz,F,Boston Pride,1,0,2,2,0,2
2017,NWHL,Alexa Gruschow,F,Metropolitan Riveters,2,1,0,1,0,1
2017,NWHL,Bray Ketchum,F,Metropolitan Riveters,2,1,0,1,0,0
2017,NWHL,Kelly Nash,F,Metropolitan Riveters,2,1,0,1,0,0
2017,NWHL,Corinne Buie,F,Buffalo Beauts,2,1,0,1,0,-3
2017,NWHL,Sarah Casorso,D,Buffalo Beauts,2,1,0,1,12,-1
2017,NWHL,Jillian Dempsey,F,Boston Pride,1,1,0,1,0,0
2017,NWHL,Lexi Bender,D,Boston Pride,1,1,0,1,0,1
2017,NWHL,Kelsey Koelzer,D/F,Metropolitan Riveters,2,0,1,1,2,2
2017,NWHL,Harrison Browne,F,Metropolitan Riveters,2,0,1,1,0,1
2017,NWHL,Ashley Johnston,D,Metropolitan Riveters,2,0,1,1,0,0
2017,NWHL,Maddie Elia,F,Buffalo Beauts,2,0,1,1,0,1
2017,NWHL,Kourtney Kunichika,F,Buffalo Beauts,2,0,1,1,2,1
2017,NWHL,Hayley Scamurra,F,Buffalo Beauts,2,0,1,1,2,1
