Season,League,Player,Team,GP,MIN,AVG,PER,SO,G,A,PIM
2016,NWHL,Lauren Slebodnick,Boston Pride,1,,0.00,1.000,,,,
2016,NWHL,Brianne McLaughlin,Buffalo Beauts,1,,2.00,0.968,,,,
2016,NWHL,Amanda Leveille,Buffalo Beauts,1,,2.00,0.944,,,,
2016,NWHL,Brittany Ott,Boston Pride,2,,3.39,0.868,,,,
2016,NWHL,Nicole Stock,Connecticut Whale,1,,8.00,0.771,,,,
2016,NWHL,Katie Fitzgerald,New York Riveters,1,,4.14,0.667,,,,
2017,NWHL,Katie Fitzgerald,Metropolitan Riveters,2,,0.00,1.000,,,,
2017,NWHL,Amanda Leveille,Buffalo Beauts,2,,1.49,0.944,,,,
2017,NWHL,Brittany Ott,Boston Pride,1,,2.93,0.919,,,,
2017,NWHL,Sydney Rossman,Connecticut Whale,1,,4.47,0.833,,,,
2017,NWHL,Keira Goin,Connecticut Whale,1,,9.47,0.500,,,,
2017,NWHL,Brianna Laing,Boston Pride,0,,,,,,,
2017,NWHL,Kelsey Neumann,Buffalo Beauts,0,,,,,,,
2017,NWHL,Kimberly Sass,Metropolitan Riveters,0,,,,,,,
